Date,TempHighF,TempLowF,DewPointHighF,DewPointLowF,HumidityHighPercent,HumidityLowPercent,SeaLevelPressureHighInches,SeaLevelPressureLowInches,VisibilityHighMiles,VisibilityLowMiles,WindHighMPH,WindGustMPH,PrecipitationSumInches,Events
2014-01-09,70,53,60.0,50.0,93.0,66.0,30.18,30.0,10.0,7.233009708737864,12.0,19.0,0,Fog
2014-03-06,65,43,42.0,35.0,89.0,34.0,30.28,30.08,10.0,4.0,13.0,20.0,0,
2014-11-01,68,47,43.0,37.0,71.0,37.0,30.43,30.28,10.0,10.0,9.0,14.0,0,
2017-07-02,100,78,75.0,66.0,91.0,35.0,30.18,29.95,10.0,8.0,14.0,25.0,0,
2016-06-28,101,72,73.0,68.0,100.0,37.0,30.06,29.94,10.0,1.0,26.0,39.0,0.33,"Rain , Thunderstorm"
2015-06-01,88,64,66.0,63.0,93.0,46.0,30.08,29.99,10.0,9.0,8.0,12.0,0,
2016-04-30,86,66,74.0,62.0,94.0,51.0,29.81,29.56,10.0,7.233009708737864,13.0,23.0,0.92,"Fog , Rain , Thunderstorm"
2015-06-27,91,74,75.0,70.0,94.0,56.0,30.05,29.95,10.0,6.0,14.0,22.0,0.01,"Rain , Thunderstorm"
2015-11-20,77,52,61.0,49.0,93.0,40.0,30.13,29.93,10.0,10.0,12.0,17.0,0,
2015-11-28,44,39,42.0,38.0,100.0,82.0,30.28,30.19,10.0,4.0,13.0,19.0,0.25,Rain
2014-04-01,86,66,67.0,62.0,93.0,48.0,29.99,29.82,10.0,4.0,17.0,28.0,0,
2015-04-15,83,54,65.0,50.0,93.0,45.0,30.04,29.88,10.0,10.0,14.0,20.0,0,
2015-02-26,52,33,37.0,21.0,96.0,52.0,30.4,29.93,10.0,5.0,15.0,24.0,0,
2016-08-16,83,71,76.0,70.0,100.0,79.0,30.07,29.97,10.0,7.233009708737864,10.0,16.0,1.79,"Fog , Rain , Thunderstorm"
2015-07-21,97,75,73.0,66.0,94.0,38.0,29.95,29.79,10.0,8.0,13.0,19.0,0,
2016-04-09,77,58,58.0,44.0,84.0,41.0,30.16,29.99,10.0,2.0,16.0,26.0,0.02,"Rain , Thunderstorm"
2016-05-13,87,71,70.0,64.0,79.0,58.0,30.17,29.99,10.0,10.0,8.0,13.0,T,
2017-01-21,81,48,58.0,33.0,100.0,23.0,29.63,29.42,10.0,7.233009708737864,21.0,38.0,0.02,Fog
2016-03-28,75,48,46.0,40.0,71.0,31.0,30.18,29.99,10.0,10.0,10.0,18.0,0,
2017-04-12,78,61,65.0,59.0,97.0,60.0,30.22,30.1,10.0,7.0,10.0,15.0,0,
2014-06-20,91,75,73.0,67.0,88.0,50.0,30.11,29.96,10.0,9.0,13.0,19.0,0,
2016-05-26,90,68,78.0,67.0,93.0,59.0,29.98,29.73,10.0,5.0,16.0,28.0,0.52,"Rain , Thunderstorm"
2016-10-07,89,63,73.0,58.0,94.0,53.0,30.17,29.91,10.0,7.0,16.0,26.0,T,Rain
2015-05-14,87,68,74.0,66.0,100.0,65.0,30.1,29.94,10.0,1.0,15.0,24.0,0.08,Rain
2016-09-30,83,60,55.0,50.0,73.0,34.0,30.22,30.06,10.0,10.0,8.0,12.0,0,
2014-09-06,97,74,75.0,66.0,94.0,39.0,30.08,29.9,10.0,2.0,13.0,20.0,0.19,"Rain , Thunderstorm"
2017-02-09,68,43,37.0,28.0,54.0,24.0,30.38,30.19,10.0,10.0,10.0,19.0,0,
2015-09-29,94,67,66.0,62.0,87.0,38.0,29.91,29.82,10.0,10.0,10.0,17.0,0,
2015-06-05,90,69,72.0,66.0,97.0,47.0,30.08,29.95,10.0,10.0,12.0,17.0,T,
2015-12-27,73,36,69.0,33.0,93.0,84.0,29.81,29.54,10.0,1.0,21.0,33.0,1.32,"Rain , Thunderstorm"
2016-02-26,64,41,36.0,25.0,56.0,27.0,30.51,30.32,10.0,10.0,10.0,16.0,0,
2015-07-29,101,76,74.0,65.0,88.0,33.0,30.06,29.93,10.0,10.0,12.0,18.0,0,
2016-10-10,84,52,52.0,39.0,83.0,23.0,30.21,30.1,10.0,10.0,7.0,11.0,0,
2017-07-12,101,77,73.0,59.0,88.0,29.0,30.07,29.93,10.0,10.0,13.0,20.0,0,
2016-06-17,97,76,75.0,71.0,94.0,46.0,30.0,29.86,10.0,9.0,10.0,19.0,0,
2015-07-12,94,74,73.0,68.0,87.0,46.0,30.13,29.97,10.0,10.0,12.0,19.0,0,
2015-06-30,94,73,76.0,71.0,100.0,52.0,30.08,29.94,10.0,7.233009708737864,14.0,26.0,0.75,"Fog , Rain , Thunderstorm"
2016-10-26,87,64,66.0,60.0,93.0,44.0,30.18,30.04,10.0,10.0,10.0,14.0,0,
2017-07-06,100,77,74.0,63.0,88.0,31.0,30.15,29.98,10.0,10.0,12.0,20.0,0,Thunderstorm
2016-08-05,100,77,76.0,71.0,91.0,42.0,30.01,29.86,10.0,10.0,12.0,18.0,0,
2017-02-06,78,67,67.0,63.0,93.0,58.0,30.0,29.8,10.0,3.0,12.0,22.0,T,Rain
2015-10-13,94,64,73.0,28.0,79.0,10.0,30.04,29.86,10.0,10.0,12.0,20.0,0,
2015-03-30,80,64,64.0,60.0,93.0,58.0,30.18,30.03,10.0,9.0,12.0,18.0,0,
2015-02-18,66,32,34.0,25.0,89.0,22.0,30.39,30.25,10.0,10.0,13.0,18.0,0,
2015-10-23,80,71,76.0,69.0,100.0,82.0,29.94,29.82,10.0,1.0,21.0,32.0,0.43,"Rain , Thunderstorm"
2014-04-08,77,50,50.0,27.0,96.0,18.0,30.2,30.05,10.0,10.0,22.0,37.0,0,
2015-03-18,81,60,65.0,58.0,93.0,54.0,30.06,29.9,10.0,8.0,13.0,20.0,0.13,Rain
2015-12-16,63,46,39.0,25.0,53.0,27.0,30.03,29.81,10.0,10.0,15.0,26.0,0,
2015-07-05,91,76,75.0,71.0,94.0,56.0,30.08,29.91,10.0,8.0,14.0,26.0,0,
2016-02-06,60,39,41.0,25.0,79.0,28.0,30.4,30.3,10.0,10.0,15.0,29.0,0,"Rain , Thunderstorm"
2015-04-19,89,57,69.0,39.0,100.0,20.0,29.86,29.72,10.0,7.233009708737864,15.0,25.0,0,"Fog , Thunderstorm"
2016-05-16,80,67,67.0,65.0,100.0,67.0,30.02,29.82,10.0,2.0,12.0,17.0,0.26,Rain
2014-03-12,70,49,50.0,16.0,56.0,16.0,30.3,29.73,10.0,10.0,24.0,37.0,0,
2014-10-09,92,75,73.0,66.0,94.0,44.0,30.01,29.83,10.0,9.0,14.0,22.0,T,Rain
2017-01-11,80,59,63.0,57.0,93.0,51.0,30.03,29.87,10.0,9.0,16.0,29.0,0,
2016-03-21,68,35,39.0,30.0,82.0,32.0,30.47,30.24,10.0,10.0,12.0,20.0,0,
2016-03-20,64,42,32.0,25.0,62.0,25.0,30.47,30.3,10.0,10.0,15.0,23.0,0,
2014-05-03,94,58,42.0,26.0,44.0,10.0,30.06,29.95,10.0,10.0,13.0,20.0,0,
2014-07-13,100,74,71.0,62.0,93.0,33.0,30.09,29.96,10.0,10.0,13.0,17.0,0,
2014-10-28,84,65,68.0,63.0,93.0,55.0,30.06,29.89,10.0,10.0,8.0,12.0,0,
